"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"S100A10",1.01279302598567e-305,-0.565094387289663,0.367,0.838,2.02467453824795e-301,"S100A10"
"GSTK1",9.46230463760029e-305,-0.814411717554805,0.341,0.72,1.89160932010267e-300,"GSTK1"
"EIF3M",5.99050699393214e-303,-0.977511925454621,0.335,0.696,1.19756225315697e-298,"EIF3M"
"PYHIN1",2.28002852992186e-302,-2.73433569108081,0.055,0.307,4.5580050341668e-298,"PYHIN1"
"CYTIP",2.25340574875582e-301,-0.553306266464132,0.342,0.71,4.50478343233777e-297,"CYTIP"
"DDX18",1.37372328053566e-300,-0.971771880977757,0.326,0.684,2.74621021011884e-296,"DDX18"
"ANXA2R",1.28191352189788e-298,-2.29086371424337,0.072,0.333,2.56267332162605e-294,"ANXA2R"
"CREB5",1.41040876010033e-298,3.92656517587682,0.408,0.125,2.81954815231656e-294,"CREB5"
"CFLAR",1.71098866221128e-298,2.37735848606549,0.772,0.682,3.42043743462656e-294,"CFLAR"
"PPA1",8.87136786288005e-297,-1.45986967840755,0.189,0.497,1.77347514946835e-292,"PPA1"
"RGS18",3.4873082812126e-296,2.78446522539745,0.447,0.163,6.9714779849721e-292,"RGS18"
"RSL24D1",3.66438220651547e-296,-0.871837517375432,0.361,0.721,7.32546646904508e-292,"RSL24D1"
"PDIA3",7.60091806472118e-296,-0.97081586799426,0.317,0.668,1.51949953031841e-291,"PDIA3"
"NDUFA12",2.07775230863274e-295,-1.05610826943436,0.287,0.625,4.15363464018771e-291,"NDUFA12"
"HSP90B1",1.84098731063043e-294,-0.422665486637173,0.357,0.732,3.68031773268128e-290,"HSP90B1"
"SMAP2",2.56056601786606e-294,2.119005797784,0.736,0.664,5.11882752631604e-290,"SMAP2"
"CALM1",5.02086453902354e-294,-0.702618927211147,0.649,0.968,1.0037210299962e-289,"CALM1"
"KLF2",5.91308176912332e-294,-0.694026081718193,0.628,0.937,1.18208417646544e-289,"KLF2"
"ITGA4",7.38897920157444e-294,-1.0271610594381,0.279,0.616,1.47713083218675e-289,"ITGA4"
"SIGIRR",1.47002031432691e-293,-1.42319291319833,0.164,0.461,2.93871761037093e-289,"SIGIRR"
"KMT2A",2.03156296937965e-293,-1.12563642197647,0.271,0.606,4.06129753208687e-289,"KMT2A"
"URI1",2.53195913377124e-293,-1.37454584346773,0.22,0.533,5.06163950432209e-289,"URI1"
"AQP9",4.73511253519772e-293,4.57392830555898,0.324,0.06,9.46596346911377e-289,"AQP9"
"PPIB",1.45241170196772e-291,-0.574616479452809,0.371,0.752,2.90351623340368e-287,"PPIB"
"OCIAD2",3.16639724630976e-291,-1.73889799662026,0.121,0.411,6.32994473509784e-287,"OCIAD2"
"FCMR",2.40304793563278e-290,-1.25136365323086,0.153,0.477,4.80393312812349e-286,"FCMR"
"PA2G4",2.46904797465468e-290,-1.0010093739214,0.302,0.643,4.93587380613216e-286,"PA2G4"
"TRAT1",1.36411023195153e-288,-1.71364555548521,0.076,0.347,2.7269927646943e-284,"TRAT1"
"HNRNPDL",8.3720554633384e-288,-0.642409901991589,0.453,0.847,1.67365760767598e-283,"HNRNPDL"
"ZRANB2",4.01596126184714e-287,-0.758267151942656,0.354,0.711,8.02830815855861e-283,"ZRANB2"
"ATP5MC3",8.67296826122883e-286,-0.867871026749008,0.335,0.703,1.73381308510226e-281,"ATP5MC3"
"HSPE1",1.92638737855542e-285,-1.08201582276315,0.272,0.603,3.85104100847015e-281,"HSPE1"
"DYRK2",2.04084085207196e-284,-2.01997077190048,0.101,0.369,4.07984494737705e-280,"DYRK2"
"HNRNPF",5.72977883068166e-284,-0.710721892479817,0.391,0.76,1.14544008604157e-279,"HNRNPF"
"SELENOH",6.18978699858162e-284,-0.917648079690651,0.362,0.721,1.23740031888645e-279,"SELENOH"
"RBL2",2.57504205220194e-282,-0.731419434379799,0.279,0.615,5.14776656655689e-278,"RBL2"
"OXNAD1",4.2884211530851e-282,-2.08780592517288,0.086,0.348,8.57298272713243e-278,"OXNAD1"
"ATP5PO",1.55406061695378e-281,-0.971142864258877,0.32,0.661,3.1067225793523e-277,"ATP5PO"
"TRABD2A",1.65764750838488e-281,-2.59217894925528,0.049,0.285,3.31380313401222e-277,"TRABD2A"
"LYN",3.82574664213113e-281,2.40134878033865,0.548,0.28,7.64805011228434e-277,"LYN"
"TBC1D10C",1.37486960855481e-280,-0.728473336729241,0.266,0.61,2.74850183446192e-276,"TBC1D10C"
"SPCS1",5.48583174152245e-280,-0.680647056005384,0.373,0.741,1.09667262344775e-275,"SPCS1"
"DDX5",2.4886471206111e-279,-0.652422031866793,0.61,0.97,4.97505445881365e-275,"DDX5"
"HNRNPR",3.12028686161669e-279,-0.905240762121778,0.328,0.678,6.23776546505792e-275,"HNRNPR"
"LIMD2",1.72289479630869e-278,-0.561257989303491,0.456,0.842,3.4442389873007e-274,"LIMD2"
"SSBP1",1.06829224651195e-277,-0.916988549134798,0.323,0.668,2.13562303000204e-273,"SSBP1"
"NCF2",1.16182757878795e-277,2.32926845175294,0.482,0.195,2.322609512755e-273,"NCF2"
"IRAK3",2.26152169858018e-277,3.46370136830896,0.419,0.151,4.52100802763164e-273,"IRAK3"
"CRISPLD2",3.71647396946196e-277,5.76622191778558,0.257,0.022,7.42960311235141e-273,"CRISPLD2"
"MPHOSPH8",5.29431058320797e-277,-0.605698180160144,0.371,0.736,1.05838562868911e-272,"MPHOSPH8"
"DAD1",1.20152921822713e-276,-0.515352042474643,0.343,0.695,2.40197706015786e-272,"DAD1"
"PLEKHA1",2.88932312652968e-276,-2.19992234229791,0.094,0.353,5.77604586224548e-272,"PLEKHA1"
"EIF1",1.99233115892448e-274,-0.495341597724602,0.734,0.989,3.98286921980593e-270,"EIF1"
"SRP9",1.14402293783252e-272,-0.731219441892233,0.331,0.679,2.28701625502098e-268,"SRP9"
"SEPT7",1.54671525917832e-272,-0.601481079568631,0.508,0.875,3.09203847462338e-268,"SEPT7"
"PDCD4",2.81015425315383e-272,-0.629327135036527,0.355,0.707,5.61777936747982e-268,"PDCD4"
