"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"C8orf82",4.44976480744934e-15,-0.561731806619022,0.077,0.118,8.89552482657197e-11,"C8orf82"
"WWC3",4.80744579521721e-15,1.99676573844379,0.144,0.1,9.61056488921873e-11,"WWC3"
"OAZ2",5.19649584953426e-15,2.03152779490824,0.279,0.239,1.03883148528039e-10,"OAZ2"
"NAGK",5.55145371107409e-15,1.42505523162369,0.346,0.312,1.10979111138082e-10,"NAGK"
"HK3",6.1169279586275e-15,1.6284811963015,0.119,0.077,1.22283506820922e-10,"HK3"
"LTA4H",6.12751534580476e-15,1.35169723263565,0.351,0.347,1.22495159277983e-10,"LTA4H"
"USP4",6.70060218050494e-15,1.88462136687488,0.255,0.21,1.33951738190474e-10,"USP4"
"BSG",7.00023071364054e-15,0.517201154955056,0.267,0.351,1.39941612196388e-10,"BSG"
"C11orf68",7.10825209376757e-15,0.549970594463078,0.095,0.142,1.42101067606508e-10,"C11orf68"
"NLRP1",7.32968377219976e-15,0.871781686766515,0.265,0.35,1.46527708290045e-10,"NLRP1"
"GPR160",7.55687679252907e-15,1.96066576684664,0.147,0.104,1.51069523959449e-10,"GPR160"
"SERINC3",8.23767094319503e-15,0.772189517096217,0.295,0.39,1.64679279825412e-10,"SERINC3"
"LILRA5",1.02468474313957e-14,1.30203145660182,0.163,0.116,2.04844727001031e-10,"LILRA5"
"CTSZ",1.11082557262525e-14,0.727905783259055,0.331,0.282,2.22065140223515e-10,"CTSZ"
"KATNBL1",1.14170349514457e-14,1.05648229231845,0.2,0.272,2.28237945714351e-10,"KATNBL1"
"ZNF593",1.1513587496137e-14,-0.502843208286996,0.085,0.127,2.30168127635275e-10,"ZNF593"
"RCOR1",1.22351627626553e-14,1.59233782421357,0.228,0.183,2.44593138788241e-10,"RCOR1"
"LMBRD1",1.22525852237998e-14,0.611145583909888,0.2,0.267,2.44941431208981e-10,"LMBRD1"
"CTSO",1.24693229185754e-14,-0.682531001109764,0.071,0.11,2.49274234465242e-10,"CTSO"
"WDFY4",1.25147122914115e-14,1.62765778537017,0.111,0.072,2.50181613417607e-10,"WDFY4"
"ALG2",1.26475469252103e-14,-0.523090375975852,0.064,0.101,2.52837110581879e-10,"ALG2"
"FAR1",1.28716999391619e-14,1.53744887675956,0.303,0.268,2.57318153483786e-10,"FAR1"
"GM2A",1.29981826005584e-14,0.929330291707945,0.115,0.074,2.59846668367762e-10,"GM2A"
"OSTM1",1.33700932258131e-14,0.626741237621819,0.156,0.214,2.67281533677229e-10,"OSTM1"
"LAMTOR3",1.42381071028092e-14,0.528826488213016,0.151,0.207,2.8463399909226e-10,"LAMTOR3"
"PDLIM1",1.86633264799153e-14,1.78006912288926,0.116,0.077,3.73098559659987e-10,"PDLIM1"
"SLAIN2",1.88217457704516e-14,0.724730940219239,0.202,0.271,3.76265519697098e-10,"SLAIN2"
"DPP8",1.9310621066291e-14,0.563869194379816,0.197,0.263,3.86038625736223e-10,"DPP8"
"VRK3",1.94436150195118e-14,0.631486621854239,0.143,0.198,3.8869730785506e-10,"VRK3"
"TPM3",1.98001182144596e-14,0.647435685691466,0.676,0.845,3.95824163225261e-10,"TPM3"
"HAVCR2",2.66341749776183e-14,-0.807461509909854,0.071,0.109,5.32443791977568e-10,"HAVCR2"
"USF2",2.83953446671138e-14,0.569398457159258,0.301,0.386,5.67651335240272e-10,"USF2"
"VPS13B",2.93063908518931e-14,0.825091002820258,0.157,0.216,5.85864059520194e-10,"VPS13B"
"TNRC18",3.04133890597469e-14,1.8945891275861,0.222,0.178,6.079940606934e-10,"TNRC18"
"QSOX1",3.08090901256399e-14,1.68628582991539,0.145,0.103,6.15904520701666e-10,"QSOX1"
"MYL6",3.31319344919444e-14,0.759753050734917,0.772,0.953,6.62340502428461e-10,"MYL6"
"UBE4A",3.48168595783343e-14,0.573023243891846,0.164,0.221,6.96023839830481e-10,"UBE4A"
"RC3H2",3.52871907877824e-14,0.593802749273898,0.155,0.213,7.05426231038557e-10,"RC3H2"
"POLL",4.01136098402526e-14,-0.664683136720783,0.063,0.1,8.01911174316491e-10,"POLL"
"STAT1",4.26805506256872e-14,1.26545630960145,0.454,0.48,8.53226887558113e-10,"STAT1"
"EXOC6",4.47735350314739e-14,1.93794839640077,0.197,0.153,8.95067738814195e-10,"EXOC6"
"MPZL1",4.64606071400485e-14,2.65032062713061,0.1,0.063,9.2879399733671e-10,"MPZL1"
"ADAM28",4.74219543592203e-14,1.09934197153649,0.102,0.064,9.48012289595174e-10,"ADAM28"
"LBR",5.96504677152461e-14,1.43312688335061,0.507,0.552,1.19247250009549e-09,"LBR"
"IFI27L2",6.1597257339924e-14,0.592476682271719,0.291,0.38,1.23139077148242e-09,"IFI27L2"
"C1RL",6.64174042886721e-14,2.4184434883716,0.122,0.083,1.32775032913484e-09,"C1RL"
"PRKAA1",6.93695395642614e-14,0.738387187702471,0.186,0.254,1.38676646542915e-09,"PRKAA1"
"ITPR2",7.18011533603618e-14,0.610257428434997,0.218,0.286,1.43537685682699e-09,"ITPR2"
"TRIM38",7.70015543282808e-14,1.27476548917867,0.473,0.498,1.53933807257666e-09,"TRIM38"
"DOCK11",7.82636595687452e-14,0.754348742875739,0.271,0.352,1.56456881843879e-09,"DOCK11"
"MOSPD2",9.74777406110546e-14,1.80508043651617,0.21,0.168,1.94867751255559e-09,"MOSPD2"
"GCN1",1.04345168143585e-13,-0.588188307154384,0.071,0.108,2.0859642563584e-09,"GCN1"
"CLK3",1.11395169390556e-13,0.506299595489947,0.13,0.179,2.22690083128661e-09,"CLK3"
"AC074117.1",1.18066468904826e-13,2.01602681527571,0.144,0.102,2.36026677987638e-09,"AC074117.1"
"CEP350",1.24750109259527e-13,0.62994077396426,0.365,0.48,2.49387943420721e-09,"CEP350"
"ANO10",1.28771815414964e-13,2.2341345328594,0.105,0.069,2.57427736196055e-09,"ANO10"
"SYNE1",1.32255893267862e-13,1.15409417516554,0.345,0.488,2.64392756231782e-09,"SYNE1"
"PLEKHA2",1.3595859152491e-13,1.41712014282731,0.286,0.248,2.71794820317447e-09,"PLEKHA2"
"ZNF518A",1.36613502373941e-13,0.614090743850216,0.204,0.27,2.73104052595745e-09,"ZNF518A"
"PSD4",1.56291539105834e-13,0.772310083738802,0.167,0.227,3.12442415826473e-09,"PSD4"
